"id";"Sample";"Size";"Type";"Color";"Number"
"754";"EM22-35";"1 - 2.5 ";"Fragment";"orange";"2"
"755";"EM22-35";"1 - 2.5 ";"Fragment";"Transparent";"20"
"756";"EM22-35";"1 - 2.5 ";"Fragment";"multicolor";"1"
"757";"EM22-35";"1 - 2.5 ";"Film";"green";"1"
"758";"EM22-35";"1 - 2.5 ";"Line";"White ";"2"
"759";"EM22-35";"1 - 2.5 ";"Line";"Yellow";"1"
"760";"EM22-36";"> 5";"line";"green";"1"
"761";"EM22-36";"> 5";"line";"Transparent";"2"
"762";"EM22-36";"2.5 - 5";"Fragment";"Transparent";"1"
"763";"EM22-36";"2.5 - 5";"Line";"green";"1"
"764";"EM22-36";"2.5 - 5";"ESP";"white";"2"
"765";"EM22-36";"1 - 2.5";"Fragment";"black";"1"
"766";"EM22-36";"1 - 2.5";"Fragment";"white";"3"
"767";"EM22-36";"1 - 2.5";"Fragment";"orange";"3"
"768";"EM22-36";"1 - 2.5";"Fragment";"Transparent";"6"
"769";"EM22-36";"1 - 2.5";"film";"Transparent";"1"
"770";"EM22-36";"1 - 2.5";"line";"green";"2"
"771";"EM22-36";"1 - 2.5";"line";"Transparent";"2"
"772";"EM22-36";"1 - 2.5";"ESP";"white";"4"
"773";"EM22-37";"> 5";"film";"Transparent";"4"
"774";"EM22-37";"> 5";"line ";"black";"2"
"775";"EM22-37";"> 5";;"Transparent";"3"
"776";"EM22-37";"2,5 - 5 ";"Fragment";"blue";"1"
"777";"EM22-37";"2,5 - 5 ";"film";"blue";"1"
"778";"EM22-37";"2,5 - 5 ";"film";"white";"1"
"779";"EM22-37";"2,5 - 5 ";"film";"Transparent";"5"
"780";"EM22-37";"2,5 - 5 ";"line ";"blue";"1"
"781";"EM22-37";"1 - 2,5";"Fragment";"white";"6"
"782";"EM22-37";"1 - 2,5";"Fragment";"Transparent";"16"
"783";"EM22-37";"1 - 2,5";"Fragment";"multicolor";"1"
"784";"EM22-37";"1 - 2,5";"film";"white";"1"
"785";"EM22-37";"1 - 2,5";"film";"Transparent";"4"
"786";"EM22-37";"1 - 2,5";"line ";"white";"1"
"787";"EM22-37";"1 - 2,5";"ESP ";"white";"3"
"788";"EM22-39";"> 5";"Fragment";"Blue";"1"
"789";"EM22-39";"> 5";"Fragment";"white";"1"
"790";"EM22-39";"> 5";"Fragment";"Transparent";"1"
"791";"EM22-39";"> 5";"Film";"Black";"2"
"792";"EM22-39";"> 5";"Film";"White";"1"
"793";"EM22-39";"> 5";"Film";"Transparent";"3"
"794";"EM22-39";"> 5";"Line";"Black";"1"
"795";"EM22-39";"> 5";"Line";"Blue";"1"
"796";"EM22-39";"> 5";"Line ";"Orange";"2"
"797";"EM22-39";"> 5";"Line";"Transparent";"3"
"798";"EM22-39";"2,5 - 5";"Fragment";"Black";"4"
"799";"EM22-39";"2,5 - 5";"Fragment";"white";"6"
"800";"EM22-39";"2,5 - 5";"Fragment";"Transparent";"7"
"801";"EM22-39";"2,5 - 5";"Film";"Black";"2"
"802";"EM22-39";"2,5 - 5";"Film";"Blue";"1"
"803";"EM22-39";"2,5 - 5";"Film";"White";"2"
"804";"EM22-39";"2,5 - 5";"Film";"Transparent";"15"
"805";"EM22-39";"2,5 - 5";"Line";"Blue";"2"
"806";"EM22-39";"2,5 - 5";"Line";"Transparent";"5"
"807";"EM22-39";"1 - 2,5";"Fragment";"Black";"21"
"808";"EM22-39";"1 - 2,5";"Fragment";"Blue";"9"
"809";"EM22-39";"1 - 2,5";"Fragment";"green";"3"
"810";"EM22-39";"1 - 2,5";"Fragment";"white";"52"
"811";"EM22-39";"1 - 2,5";"Fragment";"yellow";"3"
"812";"EM22-39";"1 - 2,5";"Fragment";"orange";"1"
"813";"EM22-39";"1 - 2,5";"Fragment";"Transparent";"74"
"814";"EM22-39";"1 - 2,5";"Film";"white";"7"
"815";"EM22-39";"1 - 2,5";"Film";"Transparent";"10"
"816";"EM22-39";"1 - 2,5";"Line";"Black";"1"
"817";"EM22-39";"1 - 2,5";"Line";"green";"1"
"818";"EM22-39";"1 - 2,5";"Line";"brown";"1"
"819";"EM22-39";"1 - 2,5";"Line";"orange";"2"
"820";"EM22-39";"1 - 2,5";"Line ";"Transparent";"3"
"821";"EM22-39";"1 - 2,5";"ESP";"white";"1"
"822";"EM22-40";"> 5";"Fragment";"Black";"1"
"823";"EM22-40";"> 5";"Fragment";"White";"3"
"824";"EM22-40";"> 5";"Fragment";"Transparent";"2"
"825";"EM22-40";"> 5";"Film";"Black";"1"
"826";"EM22-40";"> 5";"Film";"White";"3"
"827";"EM22-40";"> 5";"Film";"Transparent";"8"
"828";"EM22-40";"> 5";"Line";"Black";"1"
"829";"EM22-40";"> 5";"Line";"Blue";"1"
"830";"EM22-40";"> 5";"Line";"White";"1"
"831";"EM22-40";"> 5";"Line";"Transparent";"1"
"832";"EM22-40";"> 5";"ESP";"White";"1"
"833";"EM22-40";"2.5 - 5";"Fragment";"Black";"5"
"834";"EM22-40";"2.5 - 5";"Fragment";"White";"7"
"835";"EM22-40";"2.5 - 5";"Fragment";"Transparent";"11"
"836";"EM22-40";"2.5 - 5";"Film";"Black";"2"
"837";"EM22-40";"2.5 - 5";"Film";"White";"1"
"838";"EM22-40";"2.5 - 5";"Film";"Transparent";"10"
"839";"EM22-40";"2.5 - 5";"Line";"Black";"1"
"840";"EM22-40";"2.5 - 5";"Line";"Blue";"2"
"841";"EM22-40";"2.5 - 5";"Line";"White";"2"
"842";"EM22-40";"2.5 - 5";"Pellet";"White";"1"
"843";"EM22-40";"1 - 2.5";"Fragment";"Black";"17"
"844";"EM22-40";"1 - 2.5";"Fragment";"Blue";"8"
"845";"EM22-40";"1 - 2.5";"Fragment";"Green";"1"
"846";"EM22-40";"1 - 2.5";"Fragment";"Brown";"2"
"847";"EM22-40";"1 - 2.5";"Fragment";"White";"50"
"848";"EM22-40";"1 - 2.5";"Fragment";"Yellow";"1"
"849";"EM22-40";"1 - 2.5";"Fragment";"Orange";"3"
"850";"EM22-40";"1 - 2.5";"Fragment";"Transparent";"93"
"851";"EM22-40";"1 - 2.5";"Film";"Black";"1"
"852";"EM22-40";"1 - 2.5";"Film";"Blue";"2"
"853";"EM22-40";"1 - 2.5";"Film";"White";"2"
"854";"EM22-40";"1 - 2.5";"Film";"orange";"1"
"855";"EM22-40";"1 - 2.5";"Film";"Transparent";"23"
"856";"EM22-40";"1 - 2.5";"Line";"Blue";"2"
"857";"EM22-40";"1 - 2.5";"Line";"green";"2"
"858";"EM22-40";"1 - 2.5";"Line";"White";"4"
"859";"EM22-40";"1 - 2.5";"Line";"Transparent";"2"
"860";"EM22-40";"1 - 2.5";"ESP";"White";"1"
"861";"EM22-42";"> 5";"Fragment";"Black";"1"
"862";"EM22-42";"> 5";"Fragment";"White";"1"
"863";"EM22-42";"> 5";"Fragment";"Transparent";"1"
"864";"EM22-42";"2,5 - 5 ";"Fragment";"Black";"1"
"865";"EM22-42";"2,5 - 5 ";"Fragment";"White";"1"
"866";"EM22-42";"2,5 - 5 ";"Fragment";"Transparent";"2"
"867";"EM22-42";"2,5 - 5 ";"Line";"Blue";"1"
"868";"EM22-42";"1 - 2,5";"Fragment";"Black";"4"
"869";"EM22-42";"1 - 2,5";"Fragment";"Blue";"1"
"870";"EM22-42";"1 - 2,5";"Fragment";"White";"5"
"871";"EM22-42";"1 - 2,5";"Fragment";"Transparent";"7"
"872";"EM22-43";">5";"Fragment";"white";"4"
"873";"EM22-43";">5";"Fragment";"Transparent";"2"
"874";"EM22-43";">5";"film";"black";"2"
"875";"EM22-43";">5";"film";"green";"1"
"876";"EM22-43";">5";"film";"Transparent";"2"
"877";"EM22-43";">5";"line";"blue";"1"
"878";"EM22-43";">5";"line";"Transparent";"1"
"879";"EM22-43";"2,5 - 5";"Fragment";"black";"4"
"880";"EM22-43";"2,5 - 5";"Fragment";"white";"2"
"881";"EM22-43";"2,5 - 5";"Fragment";"Transparent";"6"
"882";"EM22-43";"2,5 - 5";"film";"white";"1"
"883";"EM22-43";"2,5 - 5";"film";"Transparent";"3"
"884";"EM22-43";"2,5 - 5";"line";"white";"1"
"885";"EM22-43";"1-2,5";"Fragment";"black";"6"
"886";"EM22-43";"1-2,5";"Fragment";"blue";"2"
"887";"EM22-43";"1-2,5";"Fragment";"green";"2"
"888";"EM22-43";"1-2,5";"Fragment";"brown";"1"
"889";"EM22-43";"1-2,5";"Fragment";"White";"15"
"890";"EM22-43";"1-2,5";"Fragment";"Orange";"2"
"891";"EM22-43";"1-2,5";"Fragment";"Transparent";"17"
"892";"EM22-43";"1-2,5";"Fragment";"Multicolor";"2"
"893";"EM22-43";"1-2,5";"film";"White";"1"
"894";"EM22-43";"1-2,5";"film";"Transparent";"3"
"895";"EM22-43";"1-2,5";"line";"Transparent";"2"
"896";"EM22-45";">5";"Fragment";"Black";"1"
"897";"EM22-45";">5";"Fragment";"White";"3"
"898";"EM22-45";">5";"Fragment";"Transparent";"1"
"899";"EM22-45";">5";"Film";"Black";"1"
"900";"EM22-45";">5";"Film";"Blue";"1"
"901";"EM22-45";">5";"Film";"White";"1"
"902";"EM22-45";">5";"Film";"Transparent";"7"
"903";"EM22-45";">5";"Line";"Transparent";"2"
"904";"EM22-45";"2,5 - 5";"Fragment";"Black";"7"
"905";"EM22-45";"2,5 - 5";"Fragment";"Blue";"1"
"906";"EM22-45";"2,5 - 5";"Fragment";"White";"17"
"907";"EM22-45";"2,5 - 5";"Fragment";"Transparent";"28"
"908";"EM22-45";"2,5 - 5";"Fragment";"multicolor";"1"
"909";"EM22-45";"2,5 - 5";"Film";"Green";"1"
"910";"EM22-45";"2,5 - 5";"Film";"White";"1"
"911";"EM22-45";"2,5 - 5";"Film";"Transparent";"10"
"912";"EM22-45";"2,5 - 5";"Line";"Transparent";"1"
"913";"EM22-45";"2,5 - 5";"ESP";"White";"1"
"914";"EM22-45";"2,5 - 5";"Pellet";"White";"1"
"915";"EM22-45";"1-2,5";"Fragment";"Black";"25"
"916";"EM22-45";"1-2,5";"Fragment";"Blue";"5"
"917";"EM22-45";"1-2,5";"Fragment";"Green";"5"
"918";"EM22-45";"1-2,5";"Fragment";"White";"80"
"919";"EM22-45";"1-2,5";"Fragment";"Yellow";"2"
"920";"EM22-45";"1-2,5";"Fragment";"Orange";"6"
"921";"EM22-45";"1-2,5";"Fragment";"Transparent";"64"
"922";"EM22-45";"1-2,5";"Fragment";"multicolor";"4"
"923";"EM22-45";"1-2,5";"Film";"Black";"1"
"924";"EM22-45";"1-2,5";"Film";"Green";"1"
"925";"EM22-45";"1-2,5";"Film";"White";"1"
"926";"EM22-45";"1-2,5";"Film";"Transparent";"9"
"927";"EM22-45";"1-2,5";"Line";"Transparent";"1"
"928";"EM22-45";"1-2,5";"ESP";"White";"3"
"929";"EM22-45";"1-2,5";"Pellet";"Yellow";"1"
"930";"EM22-46";">5";"Fragment";"Blue";"1"
"931";"EM22-46";">5";"Fragment";"White";"1"
"932";"EM22-46";">5";"Fragment";"Yellow";"1"
"933";"EM22-46";">5";"Fragment";"Transparent";"4"
"934";"EM22-46";">5";"Film";"White";"1"
"935";"EM22-46";">5";"Film";"Transparent";"8"
"936";"EM22-46";">5";"Line";"Green";"1"
"937";"EM22-46";">5";"Line";"Transparent";"1"
"938";"EM22-46";"2,5 - 5";"Fragment";"Black";"5"
"939";"EM22-46";"2,5 - 5";"Fragment";"White";"4"
"940";"EM22-46";"2,5 - 5";"Fragment";"Yellow";"1"
"941";"EM22-46";"2,5 - 5";"Fragment";"Transparent";"28"
"942";"EM22-46";"2,5 - 5";"Film";"White";"1"
"943";"EM22-46";"2,5 - 5";"Film";"Transparent";"7"
"944";"EM22-46";"2,5 - 5";"Line";"Black";"2"
"945";"EM22-46";"2,5 - 5";"Line";"Yellow";"1"
"946";"EM22-46";"2,5 - 5";"Line";"Transparent";"5"
"947";"EM22-46";"2,5 - 5";"ESP";"White";"1"
"948";"EM22-46";"1 - 2,5";"Fragment";"Black";"30"
"949";"EM22-46";"1 - 2,5";"Fragment";"Blue";"15"
"950";"EM22-46";"1 - 2,5";"Fragment";"Green";"12"
"951";"EM22-46";"1 - 2,5";"Fragment";"Brown";"1"
"952";"EM22-46";"1 - 2,5";"Fragment";"White";"73"
"953";"EM22-46";"1 - 2,5";"Fragment";"Yellow";"2"
"954";"EM22-46";"1 - 2,5";"Fragment";"Orange";"2"
"955";"EM22-46";"1 - 2,5";"Fragment";"Transparent";"169"
"956";"EM22-46";"1 - 2,5";"Film";"Black";"2"
"957";"EM22-46";"1 - 2,5";"Film";"Transparent";"13"
"958";"EM22-46";"1 - 2,5";"Line";"Black";"2"
"959";"EM22-46";"1 - 2,5";"Line";"Blue";"1"
"960";"EM22-46";"1 - 2,5";"Line";"White";"5"
"961";"EM22-46";"1 - 2,5";"Line";"Orange";"3"
"962";"EM22-46";"1 - 2,5";"Line";"Transparent";"1"
"963";"EM22-46";"1 - 2,5";"ESP";"White";"1"
"964";"EM22-47";">5";"Fragment";"Black";"15"
"965";"EM22-47";">5";"Fragment";"Blue";"6"
"966";"EM22-47";">5";"Fragment";"green";"4"
"967";"EM22-47";">5";"Fragment";"White";"34"
"968";"EM22-47";">5";"Fragment";"Yellow";"1"
"969";"EM22-47";">5";"Fragment";"Orange";"1"
"970";"EM22-47";">5";"Fragment";"Transparent";"63"
"971";"EM22-47";">5";"Film";"Black";"1"
"972";"EM22-47";">5";"Film";"Blue";"3"
"973";"EM22-47";">5";"Film";"green";"1"
"974";"EM22-47";">5";"Film";"White";"12"
"975";"EM22-47";">5";"Film";"Yellow";"1"
"976";"EM22-47";">5";"Film";"Transparent";"57"
"977";"EM22-47";">5";"Film";"Multicolor";"2"
"978";"EM22-47";">5";"Line";"Black";"5"
"979";"EM22-47";">5";"Line";"Blue";"12"
"980";"EM22-47";">5";"Line";"green";"9"
"981";"EM22-47";">5";"Line";"white";"5"
"982";"EM22-47";">5";"Line";"Yellow";"1"
"983";"EM22-47";">5";"Line";"Orange";"12"
"984";"EM22-47";">5";"Line";"Transparent";"23"
"985";"EM22-47";"2,5 - 5";"Fragment";"Black";"29"
"986";"EM22-47";"2,5 - 5";"Fragment";"Blue";"9"
"987";"EM22-47";"2,5 - 5";"Fragment";"green";"5"
"988";"EM22-47";"2,5 - 5";"Fragment";"White";"58"
"989";"EM22-47";"2,5 - 5";"Fragment";"Yellow";"2"
"990";"EM22-47";"2,5 - 5";"Fragment";"Orange";"4"
"991";"EM22-47";"2,5 - 5";"Fragment";"Transparent";"85"
"992";"EM22-47";"2,5 - 5";"Fragment";"Multicolor";"1"
"993";"EM22-47";"2,5 - 5";"Film";"Black";"1"
"994";"EM22-47";"2,5 - 5";"Film";"Blue";"4"
"995";"EM22-47";"2,5 - 5";"Film";"White";"15"
"996";"EM22-47";"2,5 - 5";"Film";"Transparent";"70"
"997";"EM22-47";"2,5 - 5";"Line";"Black";"1"
"998";"EM22-47";"2,5 - 5";"Line";"Blue";"4"
"999";"EM22-47";"2,5 - 5";"Line";"Green";"2"
"1000";"EM22-47";"2,5 - 5";"Line";"White";"6"
"1001";"EM22-47";"2,5 - 5";"Line";"Orange";"2"
"1002";"EM22-47";"2,5 - 5";"Line";"Transparent";"14"
"1003";"EM22-47";"2,5 - 5";"PU";"White";"1"
"1004";"EM22-47";"2,5 - 5";"Pellet";"Transparent";"1"
"1005";"EM22-47";"1 - 2,5 ";"Fragment";"Black";"107"
"1006";"EM22-47";"1 - 2,5 ";"Fragment";"Blue";"39"
"1007";"EM22-47";"1 - 2,5 ";"Fragment";"Green";"14"
"1008";"EM22-47";"1 - 2,5 ";"Fragment";"Brown";"2"
"1009";"EM22-47";"1 - 2,5 ";"Fragment";"White";"295"
"1010";"EM22-47";"1 - 2,5 ";"Fragment";"Yellow";"10"
"1011";"EM22-47";"1 - 2,5 ";"Fragment";"Orange";"9"
"1012";"EM22-47";"1 - 2,5 ";"Fragment";"Transparent";"704"
"1013";"EM22-47";"1 - 2,5 ";"Fragment";"multicolor";"5"
"1014";"EM22-47";"1 - 2,5 ";"Film";"Black";"1"
"1015";"EM22-47";"1 - 2,5 ";"Film";"Blue";"2"
"1016";"EM22-47";"1 - 2,5 ";"Film";"White";"4"
"1017";"EM22-47";"1 - 2,5 ";"Film";"Transparent";"39"
"1018";"EM22-47";"1 - 2,5 ";"Line";"Blue";"1"
"1019";"EM22-47";"1 - 2,5 ";"Line";"Green";"3"
"1020";"EM22-47";"1 - 2,5 ";"Line";"White";"7"
"1021";"EM22-47";"1 - 2,5 ";"Line";"Transparent";"10"
"1022";"EM22-47";"1 - 2,5 ";"ESP";"White";"1"
"1023";"EM22-48";"> 5";"Fragment";"Black";"2"
"1024";"EM22-48";"> 5";"Fragment";"Blue";"1"
"1025";"EM22-48";"> 5";"Fragment";"White";"19"
"1026";"EM22-48";"> 5";"Fragment";"Yellow";"1"
"1027";"EM22-48";"> 5";"Fragment";"Transparent";"4"
"1028";"EM22-48";"> 5";"Film";"Black";"1"
"1029";"EM22-48";"> 5";"Film";"White";"3"
"1030";"EM22-48";"> 5";"Film";"Transparent";"27"
"1031";"EM22-48";"> 5";"Line";"Green";"1"
"1032";"EM22-48";"> 5";"Line";"White";"1"
"1033";"EM22-48";"> 5";"Line";"Transparent";"1"
"1034";"EM22-48";"> 5";"Line";"Multicolor";"1"
"1035";"EM22-48";"> 5";"Pellet";"White";"1"
"1036";"EM22-48";"2.5 - 5";"Fragment";"Black";"7"
"1037";"EM22-48";"2.5 - 5";"Fragment";"White";"3"
"1038";"EM22-48";"2.5 - 5";"Fragment";"Yellow";"1"
"1039";"EM22-48";"2.5 - 5";"Fragment";"Transparent";"10"
"1040";"EM22-48";"2.5 - 5";"Film";"Transparent";"24"
"1041";"EM22-48";"2.5 - 5";"Line";"Green";"1"
"1042";"EM22-48";"2.5 - 5";"Line";"Transparent";"1"
"1043";"EM22-48";"1 - 2.5";"Fragment";"Black";"14"
"1044";"EM22-48";"1 - 2.5";"Fragment";"Blue";"7"
"1045";"EM22-48";"1 - 2.5";"Fragment";"Green";"2"
"1046";"EM22-48";"1 - 2.5";"Fragment";"White";"18"
"1047";"EM22-48";"1 - 2.5";"Fragment";"Yellow";"1"
"1048";"EM22-48";"1 - 2.5";"Fragment";"Orange";"2"
"1049";"EM22-48";"1 - 2.5";"Fragment";"Transparent";"64"
"1050";"EM22-48";"1 - 2.5";"Film";"Transparent";"13"
"1051";"EM22-48";"1 - 2.5";"Line";"Green";"2"
"1052";"EM22-48";"1 - 2.5";"ESP";"White";"1"
"1053";"EM22-49";"> 5";"Fragment";"Black";"1"
"1054";"EM22-49";"> 5";"Fragment";"Transparent";"4"
"1055";"EM22-49";"> 5";"Film";"White";"1"
"1056";"EM22-49";"> 5";"Film";"Transparent";"10"
"1057";"EM22-49";"> 5";"Line";"Black";"1"
"1058";"EM22-49";"> 5";"Line";"Blue";"1"
"1059";"EM22-49";"> 5";"Line";"White";"1"
"1060";"EM22-49";"> 5";"Line";"Orange";"1"
"1061";"EM22-49";"> 5";"Line";"Transparent";"1"
"1062";"EM22-49";"2.5 - 5 ";"Fragment";"Blue";"1"
"1063";"EM22-49";"2.5 - 5 ";"Fragment";"White";"3"
"1064";"EM22-49";"2.5 - 5 ";"Fragment";"Transparent";"8"
"1065";"EM22-49";"2.5 - 5 ";"Film";"Black";"2"
"1066";"EM22-49";"2.5 - 5 ";"Film";"Transparent";"5"
"1067";"EM22-49";"2.5 - 5 ";"Line";"Blue";"2"
"1068";"EM22-49";"2.5 - 5 ";"Line";"green";"1"
"1069";"EM22-49";"2.5 - 5 ";"ESP";"White";"2"
"1070";"EM22-49";"1 - 2.5";"Fragment";"Black";"10"
"1071";"EM22-49";"1 - 2.5";"Fragment";"Blue";"6"
"1072";"EM22-49";"1 - 2.5";"Fragment";"green";"2"
"1073";"EM22-49";"1 - 2.5";"Fragment";"White";"37"
"1074";"EM22-49";"1 - 2.5";"Fragment";"Yellow";"7"
"1075";"EM22-49";"1 - 2.5";"Fragment";"Orange";"1"
"1076";"EM22-49";"1 - 2.5";"Fragment";"Transparent";"40"
"1077";"EM22-49";"1 - 2.5";"Fragment";"Multicolor";"1"
"1078";"EM22-49";"1 - 2.5";"Film";"white";"3"
"1079";"EM22-49";"1 - 2.5";"Film";"Transparent";"10"
"1080";"EM22-49";"1 - 2.5";"Line";"Blue";"3"
"1081";"EM22-49";"1 - 2.5";"Line";"green";"1"
"1082";"EM22-49";"1 - 2.5";"ESP";"white";"14"
"1083";"EM22-50";"> 5";"Fragment";"Blue";"1"
"1084";"EM22-50";"> 5";"Fragment";"White";"6"
"1085";"EM22-50";"> 5";"Fragment";"Orange";"1"
"1086";"EM22-50";"> 5";"Fragment";"Transparent";"7"
"1087";"EM22-50";"> 5";"Fragment";"Multicolor";"1"
"1088";"EM22-50";"> 5";"Film";"Blue";"1"
"1089";"EM22-50";"> 5";"Film";"White";"4"
"1090";"EM22-50";"> 5";"Film";"Transparent";"9"
"1091";"EM22-50";"> 5";"Line";"Black";"2"
"1092";"EM22-50";"> 5";"Line";"Blue";"1"
"1093";"EM22-50";"> 5";"Line";"Green";"2"
"1094";"EM22-50";"> 5";"Line";"White";"1"
"1095";"EM22-50";"> 5";"Line";"Transparent";"3"
"1096";"EM22-50";"2.5 - 5";"Fragment";"Black";"6"
"1097";"EM22-50";"2.5 - 5";"Fragment";"Blue";"1"
"1098";"EM22-50";"2.5 - 5";"Fragment";"Green";"2"
"1099";"EM22-50";"2.5 - 5";"Fragment";"White";"21"
"1100";"EM22-50";"2.5 - 5";"Fragment";"Yellow";"1"
"1101";"EM22-50";"2.5 - 5";"Fragment";"Transparent";"17"
"1102";"EM22-50";"2.5 - 5";"Fragment";"multicolor";"1"
"1103";"EM22-50";"2.5 - 5";"Film";"Black";"4"
"1104";"EM22-50";"2.5 - 5";"Film";"Blue";"1"
"1105";"EM22-50";"2.5 - 5";"Film";"White";"7"
"1106";"EM22-50";"2.5 - 5";"Film";"Yellow";"1"
"1107";"EM22-50";"2.5 - 5";"Film";"Transparent";"19"
"1108";"EM22-50";"2.5 - 5";"Line";"White";"2"
"1109";"EM22-50";"2.5 - 5";"Line";"Orange";"2"
"1110";"EM22-50";"2.5 - 5";"Line";"Transparent";"7"
"1111";"EM22-50";"2.5 - 5";"ESP";"White";"3"
"1112";"EM22-50";"1 - 2.5";"Fragment";"Black";"25"
"1113";"EM22-50";"1 - 2.5";"Fragment";"Blue";"17"
"1114";"EM22-50";"1 - 2.5";"Fragment";"Green";"5"
"1115";"EM22-50";"1 - 2.5";"Fragment";"Brown";"2"
"1116";"EM22-50";"1 - 2.5";"Fragment";"White";"79"
"1117";"EM22-50";"1 - 2.5";"Fragment";"Yellow";"6"
"1118";"EM22-50";"1 - 2.5";"Fragment";"Orange";"4"
"1119";"EM22-50";"1 - 2.5";"Fragment";"Transparent";"160"
"1120";"EM22-50";"1 - 2.5";"Fragment";"Multicolor";"6"
"1121";"EM22-50";"1 - 2.5";"Film";"Black";"2"
"1122";"EM22-50";"1 - 2.5";"Film";"Blue";"3"
"1123";"EM22-50";"1 - 2.5";"Film";"Green";"1"
"1124";"EM22-50";"1 - 2.5";"Film";"White";"5"
"1125";"EM22-50";"1 - 2.5";"Film";"Transparent";"30"
"1126";"EM22-50";"1 - 2.5";"Line";"Black";"1"
"1127";"EM22-50";"1 - 2.5";"Line";"Blue";"2"
"1128";"EM22-50";"1 - 2.5";"Line";"Green";"7"
"1129";"EM22-50";"1 - 2.5";"Line";"Brown";"1"
"1130";"EM22-50";"1 - 2.5";"Line";"White";"3"
"1131";"EM22-50";"1 - 2.5";"Line";"Orange";"1"
"1132";"EM22-50";"1 - 2.5";"Line";"Transparent";"7"
"1133";"EM22-50";"1 - 2.5";"Line";"Multicolor";"1"
"1134";"EM22-50";"1 - 2.5";"ESP";"White";"4"
"1135";"EM22-50";"1 - 2.5";"ESP";"Yellow";"1"
"1136";"EM22-51";"> 5";"Fragment";"Black";"4"
"1137";"EM22-51";"> 5";"Film";"Transparent";"4"
"1138";"EM22-51";"> 5";"Line";"White";"1"
"1139";"EM22-51";"> 5";"Line";"Transparent";"2"
"1140";"EM22-51";"2.5 - 5 ";"Fragment";"Black";"2"
"1141";"EM22-51";"2.5 - 5 ";"Fragment";"White";"1"
"1142";"EM22-51";"2.5 - 5 ";"Fragment";"Multicolor";"1"
"1143";"EM22-51";"2.5 - 5 ";"Film";"Transparent";"3"
"1144";"EM22-51";"2.5 - 5 ";"Line";"Transparent";"3"
"1145";"EM22-51";"1 - 2.5 ";"Fragment";"Black";"4"
"1146";"EM22-51";"1 - 2.5 ";"Fragment";"Blue";"2"
"1147";"EM22-51";"1 - 2.5 ";"Fragment";"Green";"1"
"1148";"EM22-51";"1 - 2.5 ";"Fragment";"White";"21"
"1149";"EM22-51";"1 - 2.5 ";"Fragment";"Orange";"2"
"1150";"EM22-51";"1 - 2.5 ";"Fragment";"Transparent";"10"
"1151";"EM22-51";"1 - 2.5 ";"Fragment";"Multicolor";"2"
"1152";"EM22-51";"1 - 2.5 ";"Film";"Black";"1"
"1153";"EM22-51";"1 - 2.5 ";"Film";"Transparent";"1"
"1154";"EM22-51";"1 - 2.5 ";"Line";"White";"2"
"1155";"EM22-51";"1 - 2.5 ";"ESP";"White";"2"
"1156";"EM22-53";"> 5";"Fragment";"White";"1"
"1157";"EM22-53";"> 5";;"Transparent";"1"
"1158";"EM22-53";"> 5";"Film";"Transparent";"1"
"1159";"EM22-53";"> 5";"Line";"Green";"1"
"1160";"EM22-53";"> 5";"ESP";"White";"1"
"1161";"EM22-53";"2.5 - 5";"Fragment";"Black";"1"
"1162";"EM22-53";"2.5 - 5";"Fragment";"Blue";"1"
"1163";"EM22-53";"2.5 - 5";"Fragment";"White";"1"
"1164";"EM22-53";"2.5 - 5";"Fragment";"Transparent";"1"
"1165";"EM22-53";"2.5 - 5";"Film";"Transparent";"2"
"1166";"EM22-53";"2.5 - 5";"ESP";"White";"2"
"1167";"EM22-53";"1 - 2.5";"Fragment";"Green";"2"
"1168";"EM22-53";"1 - 2.5";"Fragment";"White";"5"
"1169";"EM22-53";"1 - 2.5";"Fragment";"Transparent";"7"
"1170";"EM22-53";"1 - 2.5";"Film";"White";"1"
"1171";"EM22-53";"1 - 2.5";"Line";"Black";"1"
"1172";"EM22-53";"1 - 2.5";"ESP";"White";"3"
"1173";"EM22-55";"> 5";"Fragment";"White";"2"
"1174";"EM22-55";"> 5";"Fragment";"Transparent";"1"
"1175";"EM22-55";"> 5";"Film";"Transparent";"1"
"1176";"EM22-55";"2.5 - 5";"Fragment";"White";"1"
"1177";"EM22-55";"1 - 2.5";"Fragment";"Blue";"2"
"1178";"EM22-55";"1 - 2.5";"Fragment";"White";"7"
"1179";"EM22-55";"1 - 2.5";"Fragment";"Transparent";"1"
"1180";"EM22-55";"1 - 2.5";"Film";"Black";"1"
"1181";"EM22-55";"1 - 2.5";"Film";"Transparent";"1"
"1182";"EM22-55";"1 - 2.5";"ESP";"White";"2"
"1183";"EM22-56";"> 5";"Fragment";"Black";"1"
"1184";"EM22-56";"> 5";"Film";"Transparent";"1"
"1185";"EM22-56";"> 5";"Line";"Green";"1"
"1186";"EM22-56";"> 5";"Line";"Orange";"1"
"1187";"EM22-56";"2.5 - 5";"Fragment";"Black";"1"
"1188";"EM22-56";"2.5 - 5";"Film";"Transparent";"1"
"1189";"EM22-56";"1 - 2.5";"Fragment";"Black";"1"
"1190";"EM22-56";"1 - 2.5";"Fragment";"White";"1"
"1191";"EM22-56";"1 - 2.5";"Fragment";"Transparent";"3"
"1192";"EM22-56";"1 - 2.5";"Film";"Transparent";"1"
"1193";"EM22-56";"1 - 2.5";"Line";"Transparent";"1"
